model,scenario,variant,variable,grid_type,version,n_files,filenames
CESM2,historical,r1i1p1f1,psl,gn,v20190308,18.0,"['psl_day_CESM2_historical_r1i1p1f1_gn_18500101-18591231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_18500101-20150101.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_18600101-18691231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_18700101-18791231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_18800101-18891231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_18900101-18991231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19000101-19091231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19100101-19191231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19200101-19291231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19300101-19391231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19400101-19491231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_20000101-20091231.nc', 'psl_day_CESM2_historical_r1i1p1f1_gn_20100101-20150101.nc']"
CESM2,historical,r1i1p1f1,uas,,,,
CESM2,historical,r1i1p1f1,vas,,,,
CESM2,historical,r1i1p1f1,evspsbl,,,,
CESM2,historical,r1i1p1f1,mrro,,,,
CESM2,historical,r1i1p1f1,mrsos,,,,
CESM2,historical,r1i1p1f1,prsn,,,,
CESM2,historical,r1i1p1f1,snd,,,,
CESM2,historical,r1i1p1f1,snw,,,,
CNRM-CM6-1-HR,historical,r1i1p1f2,tas,gr,v20191021,4.0,"['tas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18991231.nc', 'tas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19491231.nc', 'tas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-19991231.nc', 'tas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_20000101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,pr,gr,v20191021,7.0,"['pr_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18741231.nc', 'pr_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18750101-18991231.nc', 'pr_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19241231.nc', 'pr_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19250101-19491231.nc', 'pr_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-19741231.nc', 'pr_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19750101-19991231.nc', 'pr_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_20000101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,psl,gr,v20191021,4.0,"['psl_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18991231.nc', 'psl_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19491231.nc', 'psl_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-19991231.nc', 'psl_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_20000101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,uas,gr,v20191021,7.0,"['uas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18741231.nc', 'uas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18750101-18991231.nc', 'uas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19241231.nc', 'uas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19250101-19491231.nc', 'uas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-19741231.nc', 'uas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19750101-19991231.nc', 'uas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_20000101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,vas,gr,v20191021,7.0,"['vas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18741231.nc', 'vas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18750101-18991231.nc', 'vas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19241231.nc', 'vas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19250101-19491231.nc', 'vas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-19741231.nc', 'vas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19750101-19991231.nc', 'vas_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_20000101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,evspsbl,,,,
CNRM-CM6-1-HR,historical,r1i1p1f2,mrro,gr,v20191021,3.0,"['mrro_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18991231.nc', 'mrro_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19491231.nc', 'mrro_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,mrsos,gr,v20191021,3.0,"['mrsos_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18991231.nc', 'mrsos_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19491231.nc', 'mrsos_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,prsn,gr,v20191021,7.0,"['prsn_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-18741231.nc', 'prsn_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18750101-18991231.nc', 'prsn_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19000101-19241231.nc', 'prsn_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19250101-19491231.nc', 'prsn_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19500101-19741231.nc', 'prsn_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_19750101-19991231.nc', 'prsn_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_20000101-20141231.nc']"
CNRM-CM6-1-HR,historical,r1i1p1f2,snd,,,,
CNRM-CM6-1-HR,historical,r1i1p1f2,snw,gr,v20191021,1.0,['snw_day_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_18500101-20141231.nc']
