model,scenario,variant,variable,grid_type,version,n_files,filenames
MIROC6,historical,r1i1p1f1,snd,,,,
MIROC6,historical,r1i1p1f1,snw,gn,v20191016,17.0,"['snw_day_MIROC6_historical_r1i1p1f1_gn_18500101-18591231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_18600101-18691231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_18700101-18791231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_18800101-18891231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_18900101-18991231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19000101-19091231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19100101-19191231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19200101-19291231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19300101-19391231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19400101-19491231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19500101-19591231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19600101-19691231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19700101-19791231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19800101-19891231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_19900101-19991231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_20000101-20091231.nc', 'snw_day_MIROC6_historical_r1i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,tas,gn,v20190710,9.0,"['tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'tas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,pr,gn,v20190710,9.0,"['pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'pr_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,psl,gn,v20190710,9.0,"['psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'psl_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,uas,gn,v20190710,9.0,"['uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'uas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,vas,gn,v20190710,9.0,"['vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'vas_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,evspsbl,,,,
MPI-ESM1-2-LR,historical,r10i1p1f1,mrro,gn,v20190710,9.0,"['mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'mrro_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,mrsos,gn,v20190710,9.0,"['mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'mrsos_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,prsn,gn,v20190710,9.0,"['prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'prsn_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MPI-ESM1-2-LR,historical,r10i1p1f1,snd,,,,
MPI-ESM1-2-LR,historical,r10i1p1f1,snw,gn,v20190710,9.0,"['snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18500101-18691231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18700101-18891231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_18900101-19091231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19100101-19291231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19300101-19491231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19500101-19691231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19700101-19891231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_19900101-20091231.nc', 'snw_day_MPI-ESM1-2-LR_historical_r10i1p1f1_gn_20100101-20141231.nc']"
MRI-ESM2-0,historical,r1i1p1f1,tas,,,,
MRI-ESM2-0,historical,r1i1p1f1,pr,,,,
MRI-ESM2-0,historical,r1i1p1f1,psl,,,,
MRI-ESM2-0,historical,r1i1p1f1,uas,,,,
MRI-ESM2-0,historical,r1i1p1f1,vas,,,,
MRI-ESM2-0,historical,r1i1p1f1,evspsbl,,,,
MRI-ESM2-0,historical,r1i1p1f1,mrro,,,,
MRI-ESM2-0,historical,r1i1p1f1,mrsos,,,,
MRI-ESM2-0,historical,r1i1p1f1,prsn,,,,
MRI-ESM2-0,historical,r1i1p1f1,snd,,,,
MRI-ESM2-0,historical,r1i1p1f1,snw,,,,
NorESM2-MM,historical,r1i1p1f1,tas,gn,v20191108,17.0,"['tas_day_NorESM2-MM_historical_r1i1p1f1_gn_18500101-18591231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_18600101-18691231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_18700101-18791231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_18800101-18891231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_18900101-18991231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19000101-19091231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19100101-19191231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19200101-19291231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19300101-19391231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19400101-19491231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19500101-19591231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19600101-19691231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19700101-19791231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19800101-19891231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_19900101-19991231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_20000101-20091231.nc', 'tas_day_NorESM2-MM_historical_r1i1p1f1_gn_20100101-20141231.nc']"
NorESM2-MM,historical,r1i1p1f1,pr,gn,v20191108,17.0,"['pr_day_NorESM2-MM_historical_r1i1p1f1_gn_18500101-18591231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_18600101-18691231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_18700101-18791231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_18800101-18891231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_18900101-18991231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19000101-19091231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19100101-19191231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19200101-19291231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19300101-19391231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19400101-19491231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19500101-19591231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19600101-19691231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19700101-19791231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19800101-19891231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_19900101-19991231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_20000101-20091231.nc', 'pr_day_NorESM2-MM_historical_r1i1p1f1_gn_20100101-20141231.nc']"
NorESM2-MM,historical,r1i1p1f1,psl,gn,v20191108,17.0,"['psl_day_NorESM2-MM_historical_r1i1p1f1_gn_18500101-18591231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_18600101-18691231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_18700101-18791231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_18800101-18891231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_18900101-18991231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19000101-19091231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19100101-19191231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19200101-19291231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19300101-19391231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19400101-19491231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19500101-19591231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19600101-19691231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19700101-19791231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19800101-19891231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_19900101-19991231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_20000101-20091231.nc', 'psl_day_NorESM2-MM_historical_r1i1p1f1_gn_20100101-20141231.nc']"
NorESM2-MM,historical,r1i1p1f1,uas,,,,
NorESM2-MM,historical,r1i1p1f1,vas,,,,
NorESM2-MM,historical,r1i1p1f1,evspsbl,,,,
NorESM2-MM,historical,r1i1p1f1,mrro,gn,v20191108,17.0,"['mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_18491231-18591231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_18600101-18691231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_18700101-18791231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_18800101-18891231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_18900101-18991231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19000101-19091231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19100101-19191231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19200101-19291231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19300101-19391231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19400101-19491231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19500101-19591231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19600101-19691231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19700101-19791231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19800101-19891231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_19900101-19991231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_20000101-20091231.nc', 'mrro_day_NorESM2-MM_historical_r1i1p1f1_gn_20100101-20141231.nc']"
NorESM2-MM,historical,r1i1p1f1,mrsos,gn,v20191108,17.0,"['mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_18491231-18591231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_18600101-18691231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_18700101-18791231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_18800101-18891231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_18900101-18991231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19000101-19091231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19100101-19191231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19200101-19291231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19300101-19391231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19400101-19491231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19500101-19591231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19600101-19691231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19700101-19791231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19800101-19891231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_19900101-19991231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_20000101-20091231.nc', 'mrsos_day_NorESM2-MM_historical_r1i1p1f1_gn_20100101-20141231.nc']"
NorESM2-MM,historical,r1i1p1f1,prsn,,,,
NorESM2-MM,historical,r1i1p1f1,snd,,,,
NorESM2-MM,historical,r1i1p1f1,snw,,,,
ACCESS-CM2,ssp126,r1i1p1f1,tas,gn,v20210317,5.0,"['tas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20150101-20641231.nc', 'tas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_21010101-21501231.nc', 'tas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_21510101-22001231.nc', 'tas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_22010101-22501231.nc', 'tas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_22510101-23001231.nc']"
ACCESS-CM2,ssp126,r1i1p1f1,pr,gn,v20210317,1.0,['pr_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_22510101-23001231.nc']
ACCESS-CM2,ssp126,r1i1p1f1,psl,gn,v20210317,5.0,"['psl_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20150101-20641231.nc', 'psl_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_21010101-21501231.nc', 'psl_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_21510101-22001231.nc', 'psl_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_22010101-22501231.nc', 'psl_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_22510101-23001231.nc']"
ACCESS-CM2,ssp126,r1i1p1f1,uas,gn,v20191108,2.0,"['uas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20150101-20641231.nc', 'uas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp126,r1i1p1f1,vas,gn,v20191108,2.0,"['vas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20150101-20641231.nc', 'vas_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp126,r1i1p1f1,evspsbl,,,,
ACCESS-CM2,ssp126,r1i1p1f1,mrro,gn,v20191108,2.0,"['mrro_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20150101-20641231.nc', 'mrro_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp126,r1i1p1f1,mrsos,gn,v20210317,2.0,"['mrsos_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_22010101-22501231.nc', 'mrsos_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_22510101-23001231.nc']"
ACCESS-CM2,ssp126,r1i1p1f1,prsn,gn,v20191108,2.0,"['prsn_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20150101-20641231.nc', 'prsn_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp126,r1i1p1f1,snd,,,,
ACCESS-CM2,ssp126,r1i1p1f1,snw,gn,v20191108,2.0,"['snw_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20150101-20641231.nc', 'snw_day_ACCESS-CM2_ssp126_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,tas,gn,v20191108,2.0,"['tas_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'tas_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,pr,gn,v20191108,2.0,"['pr_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'pr_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,psl,gn,v20191108,2.0,"['psl_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'psl_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,uas,gn,v20191108,2.0,"['uas_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'uas_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,vas,gn,v20191108,2.0,"['vas_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'vas_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,evspsbl,,,,
ACCESS-CM2,ssp245,r1i1p1f1,mrro,gn,v20191108,2.0,"['mrro_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'mrro_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,mrsos,gn,v20191108,2.0,"['mrsos_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'mrsos_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,prsn,gn,v20191108,2.0,"['prsn_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'prsn_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp245,r1i1p1f1,snd,,,,
ACCESS-CM2,ssp245,r1i1p1f1,snw,gn,v20191108,2.0,"['snw_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20150101-20641231.nc', 'snw_day_ACCESS-CM2_ssp245_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,tas,gn,v20210317,2.0,"['tas_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_22010101-22501231.nc', 'tas_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_22510101-23001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,pr,gn,v20210317,1.0,['pr_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_22510101-23001231.nc']
ACCESS-CM2,ssp585,r1i1p1f1,psl,gn,v20210317,2.0,"['psl_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_22010101-22501231.nc', 'psl_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_22510101-23001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,uas,gn,v20191108,2.0,"['uas_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20150101-20641231.nc', 'uas_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,vas,gn,v20191108,2.0,"['vas_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20150101-20641231.nc', 'vas_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,evspsbl,,,,
ACCESS-CM2,ssp585,r1i1p1f1,mrro,gn,v20191108,2.0,"['mrro_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20150101-20641231.nc', 'mrro_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,mrsos,gn,v20210317,6.0,"['mrsos_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20150101-20641231.nc', 'mrsos_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20650101-21001231.nc', 'mrsos_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_21010101-21501231.nc', 'mrsos_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_21510101-22001231.nc', 'mrsos_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_22010101-22501231.nc', 'mrsos_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_22510101-23001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,prsn,gn,v20191108,2.0,"['prsn_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20150101-20641231.nc', 'prsn_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20650101-21001231.nc']"
ACCESS-CM2,ssp585,r1i1p1f1,snd,,,,
ACCESS-CM2,ssp585,r1i1p1f1,snw,gn,v20191108,2.0,"['snw_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20150101-20641231.nc', 'snw_day_ACCESS-CM2_ssp585_r1i1p1f1_gn_20650101-21001231.nc']"
CESM2,ssp126,r1i1p1f1,tas,gn,v20190730,9.0,"['tas_day_CESM2_ssp126_r1i1p1f1_gn_20150101-20241231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20250101-20341231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20350101-20441231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20450101-20541231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20550101-20641231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20650101-20741231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20750101-20841231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20850101-20941231.nc', 'tas_day_CESM2_ssp126_r1i1p1f1_gn_20950101-21010101.nc']"
