model,scenario,variant,table_id,variable,grid_type,version,n_files,filenames
E3SM-1-1-ECA,historical,r1i1p1f1,day,mrsos,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Emon,mrsol,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Eday,mrsol,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Amon,prsn,gr,v20200623,17.0,"['prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200912.nc', 'prsn_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,Omon,prsn,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,day,prsn,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,LImon,snd,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Eday,snd,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,LImon,snw,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,day,snw,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Amon,rlds,gr,v20200623,17.0,"['rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200912.nc', 'rlds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,day,rlds,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Amon,rsds,gr,v20200623,17.0,"['rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200912.nc', 'rsds_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,day,rsds,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Emon,rls,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,day,rls,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Emon,rss,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,day,rss,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,fx,orog,gr,v20200116,1.0,['orog_fx_E3SM-1-1-ECA_historical_r1i1p1f1_gr.nc']
E3SM-1-1-ECA,historical,r1i1p1f1,fx,sftlf,gr,v20201015,1.0,['sftlf_fx_E3SM-1-1-ECA_historical_r1i1p1f1_gr.nc']
E3SM-1-1-ECA,historical,r1i1p1f1,Ofx,sftof,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Amon,clt,gr,v20200623,17.0,"['clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200912.nc', 'clt_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,day,clt,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Eday,clt,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Omon,tos,gr,v20200127,33.0,"['tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185501-185912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186501-186912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187501-187912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188501-188912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189501-189912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190501-190912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191501-191912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192501-192912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193501-193912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194501-194912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195501-195912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196501-196912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197501-197912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198501-198912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199501-199912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200412.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200501-200912.nc', 'tos_Omon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,Oday,tos,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,SImon,siconc,gr,v20200127,33.0,"['siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185501-185912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186501-186912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187501-187912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188501-188912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189501-189912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190501-190912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191501-191912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192501-192912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193501-193912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194501-194912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195501-195912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196501-196912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197501-197912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198501-198912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199501-199912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200412.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200501-200912.nc', 'siconc_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,SIday,siconc,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,SImon,sithick,gr,v20200127,33.0,"['sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185501-185912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186501-186912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187501-187912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188501-188912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189501-189912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190501-190912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191501-191912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192501-192912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193501-193912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194501-194912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195501-195912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196501-196912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197501-197912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198501-198912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199501-199912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200412.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200501-200912.nc', 'sithick_SImon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,SIday,sithick,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Amon,hfls,gr,v20200623,17.0,"['hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200912.nc', 'hfls_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,day,hfls,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Eday,hfls,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Amon,hfss,gr,v20200623,17.0,"['hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_185001-185912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_186001-186912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_187001-187912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_188001-188912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_189001-189912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_190001-190912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_191001-191912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_192001-192912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_193001-193912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_194001-194912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_195001-195912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_196001-196912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_197001-197912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_198001-198912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_199001-199912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_200001-200912.nc', 'hfss_Amon_E3SM-1-1-ECA_historical_r1i1p1f1_gr_201001-201412.nc']"
E3SM-1-1-ECA,historical,r1i1p1f1,day,hfss,,,,
E3SM-1-1-ECA,historical,r1i1p1f1,Eday,hfss,,,,
E3SM-2-0,historical,r10i1p1f1,Amon,tas,gr,v20230803,4.0,"['tas_Amon_E3SM-2-0_historical_r10i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r10i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r10i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r10i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r11i1p1f1,Amon,tas,gr,v20230810,4.0,"['tas_Amon_E3SM-2-0_historical_r11i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r11i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r11i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r11i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r12i1p1f1,Amon,tas,gr,v20230816,4.0,"['tas_Amon_E3SM-2-0_historical_r12i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r12i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r12i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r12i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r13i1p1f1,Amon,tas,gr,v20230826,4.0,"['tas_Amon_E3SM-2-0_historical_r13i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r13i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r13i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r13i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r14i1p1f1,Amon,tas,gr,v20230803,4.0,"['tas_Amon_E3SM-2-0_historical_r14i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r14i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r14i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r14i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r15i1p1f1,Amon,tas,gr,v20230810,4.0,"['tas_Amon_E3SM-2-0_historical_r15i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r15i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r15i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r15i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r16i1p1f1,Amon,tas,gr,v20230816,4.0,"['tas_Amon_E3SM-2-0_historical_r16i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r16i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r16i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r16i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r17i1p1f1,Amon,tas,gr,v20230826,4.0,"['tas_Amon_E3SM-2-0_historical_r17i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r17i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r17i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r17i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r18i1p1f1,Amon,tas,gr,v20230803,4.0,"['tas_Amon_E3SM-2-0_historical_r18i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r18i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r18i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r18i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r19i1p1f1,Amon,tas,gr,v20230810,4.0,"['tas_Amon_E3SM-2-0_historical_r19i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r19i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r19i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r19i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r1i1p1f1,Amon,tas,gr,v20220830,4.0,"['tas_Amon_E3SM-2-0_historical_r1i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r1i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r1i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r1i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r20i1p1f1,Amon,tas,gr,v20230816,4.0,"['tas_Amon_E3SM-2-0_historical_r20i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r20i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r20i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r20i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r21i1p1f1,Amon,tas,gr,v20230826,4.0,"['tas_Amon_E3SM-2-0_historical_r21i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r21i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r21i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r21i1p1f1_gr_200001-201412.nc']"
E3SM-2-0,historical,r2i1p1f1,Amon,tas,gr,v20220831,4.0,"['tas_Amon_E3SM-2-0_historical_r2i1p1f1_gr_185001-189912.nc', 'tas_Amon_E3SM-2-0_historical_r2i1p1f1_gr_190001-194912.nc', 'tas_Amon_E3SM-2-0_historical_r2i1p1f1_gr_195001-199912.nc', 'tas_Amon_E3SM-2-0_historical_r2i1p1f1_gr_200001-201412.nc']"
